Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
68.0,Steve Nash,34.0,PHO,PG,74.0,74.0,2484.0,0.503,15.2,0.711,0.165,0.127,0.184,0.235,0.289,0.529,0.671,0.546,0.433,0.495,0.439,0.106,0.361,0.0,0.0,0.049,0.417,0.0,0.0,
69.0,Troy Murphy,28.0,IND,PF,73.0,73.0,2482.0,0.475,16.7,0.533,0.232,0.047,0.069,0.185,0.467,0.496,0.629,0.361,0.453,0.38,0.45,0.522,1.0,0.033,25.0,0.056,0.45,0.0,0.0,
70.0,Jamal Crawford,28.0,2TM,PG,65.0,65.0,2479.0,0.41,17.3,0.614,0.139,0.086,0.102,0.288,0.386,0.441,0.585,0.341,0.375,0.425,0.36,0.235,0.704,0.0,0.0,0.223,0.398,3.0,0.0,
70.0,Jamal Crawford,28.0,NYK,SG,11.0,11.0,392.0,0.432,17.2,0.544,0.172,0.071,0.112,0.189,0.456,0.413,0.414,0.333,0.316,0.5,0.455,0.316,0.657,0.0,0.0,0.26,0.35,0.0,0.0,
70.0,Jamal Crawford,28.0,GSW,PG,54.0,54.0,2087.0,0.406,17.3,0.628,0.132,0.089,0.1,0.307,0.372,0.446,0.628,0.342,0.388,0.416,0.338,0.222,0.72,0.0,0.0,0.215,0.412,3.0,0.0,
71.0,Shawn Marion,30.0,2TM,SF,69.0,68.0,2470.0,0.485,6.9,0.933,0.407,0.313,0.165,0.047,0.067,0.506,0.66,0.401,0.392,0.27,0.189,0.653,0.9,0.126,89.0,0.623,0.182,1.0,0.0,
71.0,Shawn Marion,30.0,MIA,SF,42.0,41.0,1516.0,0.482,7.1,0.91,0.406,0.305,0.155,0.045,0.09,0.51,0.641,0.412,0.42,0.3,0.2,0.667,0.875,0.139,55.0,0.675,0.185,0.0,0.0,
71.0,Shawn Marion,30.0,TOR,SF,27.0,27.0,954.0,0.488,6.7,0.962,0.409,0.325,0.178,0.05,0.038,0.502,0.686,0.387,0.361,0.235,0.154,0.636,1.0,0.108,34.0,0.462,0.167,1.0,0.0,
72.0,Tony Parker,26.0,SAS,PG,72.0,71.0,2456.0,0.506,9.6,0.949,0.394,0.165,0.079,0.31,0.051,0.518,0.645,0.433,0.3,0.457,0.292,0.226,0.895,0.0,0.0,0.369,0.333,0.0,0.0,"MVP-8,AS,NBA3"
73.0,Andrea Bargnani,23.0,TOR,PF,78.0,59.0,2453.0,0.45,15.1,0.696,0.214,0.108,0.115,0.26,0.304,0.468,0.595,0.388,0.391,0.43,0.409,0.692,0.975,0.047,41.0,0.01,0.0,1.0,0.0,
74.0,Metta World Peace,29.0,HOU,SF,69.0,55.0,2452.0,0.401,15.5,0.631,0.249,0.068,0.076,0.237,0.369,0.402,0.496,0.225,0.367,0.366,0.399,0.278,0.778,0.011,11.0,0.196,0.307,1.0,0.0,"DPOY-5,DEF2"
75.0,Rafer Alston,32.0,2TM,PG,77.0,76.0,2447.0,0.385,14.2,0.596,0.279,0.14,0.051,0.126,0.404,0.417,0.445,0.409,0.286,0.417,0.338,0.118,0.804,0.0,0.0,0.097,0.344,3.0,0.0,
75.0,Rafer Alston,32.0,HOU,PG,48.0,48.0,1591.0,0.37,15.4,0.559,0.238,0.149,0.061,0.111,0.441,0.387,0.403,0.41,0.25,0.397,0.348,0.159,0.738,0.0,0.0,0.065,0.4,2.0,0.0,
75.0,Rafer Alston,32.0,ORL,PG,29.0,28.0,856.0,0.413,13.0,0.661,0.352,0.124,0.034,0.151,0.339,0.462,0.495,0.405,0.4,0.444,0.317,0.066,0.969,0.0,0.0,0.168,0.294,1.0,0.0,
76.0,Grant Hill,36.0,PHO,SF,82.0,68.0,2445.0,0.523,9.7,0.898,0.38,0.132,0.177,0.209,0.102,0.547,0.657,0.48,0.447,0.474,0.316,0.653,0.958,0.036,24.0,0.684,0.385,0.0,0.0,DPOY-16
77.0,Derek Fisher,34.0,LAL,PG,82.0,82.0,2441.0,0.424,17.9,0.561,0.137,0.076,0.071,0.278,0.439,0.446,0.362,0.404,0.449,0.497,0.397,0.372,0.892,0.0,0.0,0.262,0.43,0.0,0.0,
78.0,Danny Granger,25.0,IND,SF,67.0,66.0,2424.0,0.447,15.8,0.648,0.198,0.103,0.104,0.242,0.352,0.47,0.609,0.379,0.391,0.43,0.404,0.373,0.951,0.016,20.0,0.064,0.448,1.0,0.0,"MIP-1,AS"
79.0,Josh Smith,23.0,ATL,PF,69.0,69.0,2421.0,0.492,8.8,0.898,0.403,0.244,0.06,0.191,0.102,0.514,0.69,0.43,0.196,0.352,0.299,0.63,0.885,0.128,102.0,0.207,0.333,0.0,0.0,DPOY-16
