Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
61,Josh Smith,29,DET,PF,28,28,896,0,0,20,80,0,-11.6,-13.2,41,23,37,5,51,2,317,9,19,
61,Josh Smith,29,HOU,PF,55,7,1404,0,0,0,88,12,7.5,6.1,82,31,82,11,51,6,354,10,29,
62,Trey Burke,22,UTA,PG,76,43,2288,100,0,0,0,0,-2.1,-5.5,81,36,57,3,54,5,739,9,50,
63,Tyson Chandler,32,DAL,C,75,75,2286,0,0,0,0,100,4.6,3.8,28,25,67,30,111,9,181,23,28,
64,Dirk Nowitzki,36,DAL,PF,77,77,2282,0,0,0,61,39,3.1,0.4,41,27,100,9,84,7,339,14,23,AS
65,Derrick Favors,23,UTA,PF,74,74,2280,0,0,0,75,25,1.6,3.2,47,37,116,24,170,2,273,34,69,
66,Matt Barnes,34,LAC,SF,76,74,2271,0,0,94,6,0,12.5,12.3,53,18,120,10,49,15,263,7,27,
67,Reggie Jackson,24,2TM,PG,77,40,2268,91,9,0,0,0,2.4,2.0,100,48,54,28,86,13,1051,23,69,
67,Reggie Jackson,24,OKC,PG,50,13,1398,86,14,0,0,0,1.4,-1.0,50,26,40,14,45,7,478,12,27,
67,Reggie Jackson,24,DET,PG,27,27,870,100,0,0,0,0,3.9,6.9,50,22,14,14,41,6,573,11,42,
68,Evan Turner,26,BOS,SG,82,57,2260,1,43,56,1,0,-2.6,-6.1,129,50,87,11,51,3,991,9,39,
69,Wesley Johnson,27,LAL,SF,76,59,2245,0,0,92,8,0,-7.1,0.2,48,28,103,4,50,7,270,11,15,
70,Jarrett Jack,31,BRK,PG,80,27,2241,70,30,0,0,0,-7.9,-10.9,111,51,60,14,77,9,837,13,28,
71,Jeff Teague,26,ATL,PG,73,72,2228,92,9,0,0,0,8.2,5.5,123,52,52,18,122,2,1184,17,68,AS
72,Tim Duncan,38,SAS,C,77,77,2227,0,0,0,0,100,6.9,0.8,54,36,89,26,151,5,513,31,66,"MVP-10,DPOY-8,AS,NBA3,DEF2"
73,Mike Conley,27,MEM,PG,70,70,2225,100,0,0,0,0,4.4,2.2,92,46,60,11,92,33,804,21,50,
74,Dion Waiters,23,2TM,SG,80,23,2208,5,81,14,0,0,1.0,-2.1,54,31,66,7,77,8,388,17,52,
74,Dion Waiters,23,CLE,SG,33,3,786,12,78,11,0,0,-3.6,-10.3,21,15,27,3,27,3,176,6,22,
74,Dion Waiters,23,OKC,SG,47,20,1422,1,83,17,0,0,3.6,2.4,33,16,39,4,50,5,212,11,30,
75,Tristan Thompson,23,CLE,PF,82,15,2194,0,0,0,21,80,5.7,2.5,16,17,75,25,100,5,105,18,51,6MOY-5
76,Gorgui Dieng,25,MIN,C,73,49,2193,0,0,0,12,88,-8.9,1.5,41,34,100,14,109,9,323,20,61,
