Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 26_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
58.0,P.J. Tucker,32.0,HOU,PF,82.0,34.0,2281.0,0.39,0.435,0.371,0.52,0.717,0.537,0.136,0.703,85.0,85.0,103.0,100.0,93.0,97.0,54.0,209.0,-0.7,-17.9,
59.0,Al Horford,31.0,BOS,C,72.0,72.0,2277.0,0.489,0.514,0.429,0.553,0.783,0.575,0.159,0.3,106.0,101.0,119.0,106.0,102.0,103.0,63.0,89.0,48.1,30.7,"DPOY-5,AS,DEF2"
60.0,Trevor Ariza,32.0,HOU,SF,67.0,67.0,2269.0,0.412,0.519,0.368,0.542,0.854,0.567,0.137,0.71,89.0,102.0,102.0,104.0,111.0,102.0,54.0,211.0,27.4,14.3,
61.0,Justin Holiday,28.0,CHI,SG,72.0,72.0,2265.0,0.371,0.387,0.359,0.474,0.823,0.513,0.21,0.574,81.0,76.0,99.0,91.0,107.0,92.0,83.0,170.0,-74.1,-74.1,
62.0,Ricky Rubio,27.0,UTA,PG,77.0,77.0,2254.0,0.418,0.451,0.352,0.476,0.866,0.537,0.307,0.33,91.0,88.0,97.0,91.0,113.0,97.0,122.0,98.0,-74.0,-36.2,
63.0,J.R. Smith,32.0,CLE,SG,80.0,61.0,2244.0,0.403,0.453,0.375,0.524,0.696,0.534,0.094,0.64,88.0,89.0,104.0,100.0,91.0,96.0,37.0,190.0,2.8,-27.2,
64.0,Kelly Oubre Jr.,22.0,WAS,SF,81.0,11.0,2231.0,0.403,0.456,0.341,0.482,0.82,0.534,0.295,0.467,87.0,89.0,94.0,93.0,107.0,96.0,117.0,139.0,-61.5,-39.7,
65.0,Cory Joseph,26.0,IND,PG,82.0,17.0,2210.0,0.424,0.457,0.353,0.479,0.745,0.503,0.156,0.315,92.0,89.0,97.0,92.0,97.0,90.0,62.0,93.0,-50.6,-68.8,
66.0,Allen Crabbe,25.0,BRK,SG,75.0,68.0,2197.0,0.407,0.461,0.378,0.529,0.852,0.558,0.163,0.643,89.0,90.0,104.0,102.0,111.0,100.0,65.0,191.0,13.0,4.1,
67.0,Julius Randle,23.0,LAL,C,82.0,49.0,2190.0,0.558,0.575,0.222,0.563,0.718,0.606,0.47,0.05,121.0,113.0,61.0,108.0,94.0,109.0,187.0,15.0,75.7,109.5,
68.0,DeMarre Carroll,31.0,BRK,PF,73.0,73.0,2180.0,0.414,0.457,0.371,0.506,0.764,0.55,0.313,0.498,90.0,90.0,103.0,97.0,100.0,99.0,124.0,148.0,-23.3,-10.5,
69.0,Bogdan BogdanoviÄ,25.0,SAC,SG,78.0,52.0,2175.0,0.446,0.485,0.392,0.529,0.84,0.556,0.154,0.426,97.0,95.0,108.0,102.0,110.0,100.0,61.0,126.0,12.3,0.1,
70.0,Jimmy Butler,28.0,MIN,SG,59.0,59.0,2164.0,0.474,0.509,0.35,0.512,0.854,0.59,0.461,0.217,103.0,100.0,97.0,98.0,111.0,106.0,183.0,64.0,-16.0,74.6,"MVP-10,DPOY-12,AS,NBA3,DEF2"
71.0,Eric Gordon,29.0,HOU,SG,69.0,30.0,2154.0,0.428,0.544,0.359,0.54,0.809,0.578,0.248,0.627,93.0,107.0,99.0,104.0,105.0,104.0,99.0,186.0,36.9,46.1,6MOY-2
72.0,Derrick Favors,26.0,UTA,C,77.0,77.0,2153.0,0.563,0.596,0.222,0.573,0.651,0.593,0.306,0.09,122.0,117.0,61.0,110.0,85.0,107.0,122.0,27.0,72.3,57.9,
73.0,Jaylen Brown,21.0,BOS,SG,70.0,70.0,2152.0,0.465,0.507,0.395,0.54,0.644,0.562,0.29,0.381,101.0,99.0,109.0,104.0,84.0,101.0,115.0,113.0,30.0,9.8,DPOY-10
74.0,T.J. Warren,24.0,PHO,SF,65.0,65.0,2142.0,0.498,0.523,0.222,0.507,0.757,0.541,0.24,0.085,108.0,103.0,61.0,97.0,99.0,97.0,95.0,25.0,-30.0,-36.2,
75.0,Wesley Matthews,31.0,DAL,SF,63.0,63.0,2131.0,0.406,0.441,0.381,0.516,0.822,0.541,0.145,0.577,88.0,86.0,105.0,99.0,107.0,97.0,58.0,171.0,-7.5,-22.7,
76.0,JJ Redick,33.0,PHI,SG,70.0,70.0,2116.0,0.46,0.504,0.42,0.569,0.904,0.614,0.248,0.523,100.0,99.0,116.0,109.0,118.0,110.0,98.0,155.0,84.8,113.6,
77.0,Patty Mills,29.0,SAS,PG,82.0,36.0,2107.0,0.411,0.47,0.372,0.523,0.89,0.558,0.173,0.607,89.0,92.0,103.0,100.0,116.0,100.0,69.0,180.0,3.1,2.7,
78.0,Denzel Valentine,24.0,CHI,SG,77.0,37.0,2095.0,0.417,0.45,0.386,0.517,0.745,0.527,0.071,0.513,91.0,88.0,107.0,99.0,97.0,95.0,28.0,152.0,-6.5,-43.9,
79.0,Serge Ibaka,28.0,TOR,PF,76.0,76.0,2093.0,0.483,0.559,0.36,0.552,0.797,0.574,0.151,0.379,105.0,109.0,100.0,106.0,104.0,103.0,60.0,112.0,47.8,29.2,
80.0,Jae Crowder,27.0,2TM,SF,80.0,47.0,2090.0,0.404,0.488,0.323,0.486,0.818,0.525,0.221,0.508,88.0,96.0,89.0,93.0,107.0,94.0,88.0,151.0,-47.4,-45.7,
80.0,Jae Crowder,27.0,CLE,SF,53.0,47.0,1346.0,0.418,0.508,0.328,0.5,0.848,0.545,0.245,0.503,91.0,100.0,91.0,96.0,111.0,98.0,97.0,149.0,-15.9,-9.2,
80.0,Jae Crowder,27.0,UTA,SF,27.0,0.0,744.0,0.386,0.462,0.316,0.468,0.768,0.499,0.19,0.515,84.0,90.0,87.0,90.0,100.0,90.0,75.0,153.0,-31.5,-36.5,
81.0,Jusuf NurkiÄ,23.0,POR,C,79.0,79.0,2088.0,0.505,0.508,0.0,0.505,0.63,0.528,0.287,0.007,110.0,100.0,0.0,97.0,82.0,95.0,114.0,2.0,-31.3,-59.4,DPOY-15
82.0,Dennis SchrÃ¶der,24.0,ATL,PG,67.0,67.0,2078.0,0.436,0.48,0.29,0.469,0.849,0.515,0.231,0.229,95.0,94.0,80.0,90.0,111.0,93.0,92.0,68.0,-118.5,-103.4,
83.0,Marcin Gortat,33.0,WAS,C,82.0,82.0,2075.0,0.518,0.518,,0.518,0.675,0.546,0.291,0.0,113.0,101.0,,99.0,88.0,98.0,116.0,0.0,-3.7,-12.7,
84.0,Al-Farouq Aminu,27.0,POR,PF,69.0,67.0,2072.0,0.395,0.432,0.369,0.503,0.738,0.522,0.137,0.582,86.0,85.0,102.0,96.0,96.0,94.0,55.0,173.0,-21.7,-42.5,
85.0,Dragan Bender,20.0,PHO,PF,82.0,37.0,2069.0,0.386,0.426,0.366,0.508,0.765,0.524,0.105,0.665,84.0,83.0,101.0,98.0,100.0,94.0,42.0,197.0,-12.5,-32.3,
86.0,Terry Rozier,23.0,BOS,PG,80.0,16.0,2068.0,0.395,0.41,0.381,0.491,0.772,0.52,0.186,0.503,86.0,80.0,105.0,94.0,101.0,93.0,74.0,149.0,-48.9,-62.8,6MOY-10
87.0,Austin Rivers,25.0,LAC,SG,61.0,59.0,2057.0,0.424,0.461,0.378,0.508,0.642,0.526,0.198,0.447,92.0,90.0,104.0,97.0,84.0,95.0,78.0,133.0,-21.1,-53.2,
88.0,Tony Snell,26.0,MIL,SG,75.0,59.0,2053.0,0.435,0.49,0.403,0.562,0.792,0.578,0.113,0.631,95.0,96.0,111.0,108.0,103.0,104.0,45.0,187.0,35.0,19.8,
89.0,Tyler Johnson,25.0,MIA,PG,72.0,39.0,2052.0,0.435,0.491,0.367,0.518,0.822,0.549,0.181,0.456,94.0,96.0,102.0,99.0,107.0,99.0,72.0,135.0,-4.1,-11.0,
90.0,Dennis Smith Jr.,20.0,DAL,PG,69.0,69.0,2049.0,0.395,0.435,0.313,0.446,0.694,0.473,0.188,0.331,86.0,85.0,86.0,86.0,91.0,85.0,75.0,98.0,-153.4,-185.4,ROY-5
91.0,Willie Cauley-Stein,24.0,SAC,C,73.0,57.0,2044.0,0.502,0.506,0.25,0.504,0.619,0.529,0.32,0.016,109.0,99.0,69.0,97.0,81.0,95.0,127.0,5.0,-26.7,-48.7,
92.0,Ish Smith,29.0,DET,PG,82.0,35.0,2043.0,0.486,0.506,0.347,0.507,0.698,0.525,0.145,0.126,106.0,99.0,96.0,97.0,91.0,94.0,57.0,37.0,-21.9,-53.7,
93.0,Wayne Ellington,30.0,MIA,SG,77.0,2.0,2041.0,0.407,0.479,0.392,0.569,0.859,0.588,0.111,0.827,88.0,94.0,108.0,109.0,112.0,106.0,44.0,245.0,67.3,47.2,6MOY-5
94.0,Evan Turner,29.0,POR,SF,79.0,40.0,2034.0,0.447,0.485,0.318,0.484,0.85,0.52,0.185,0.229,97.0,95.0,88.0,93.0,111.0,93.0,74.0,68.0,-43.4,-45.2,
95.0,Clint Capela,23.0,HOU,C,74.0,74.0,2034.0,0.652,0.653,0.0,0.652,0.56,0.65,0.38,0.001,142.0,128.0,0.0,125.0,73.0,117.0,151.0,0.0,177.4,148.3,DPOY-14
96.0,Jonathon Simmons,28.0,ORL,SG,69.0,50.0,2029.0,0.465,0.512,0.338,0.511,0.768,0.555,0.317,0.268,101.0,100.0,94.0,98.0,100.0,100.0,126.0,80.0,-16.2,-2.4,
97.0,De'Aaron Fox,20.0,SAC,PG,73.0,61.0,2026.0,0.412,0.436,0.307,0.441,0.723,0.478,0.245,0.192,89.0,86.0,85.0,85.0,94.0,86.0,97.0,57.0,-127.8,-137.9,
98.0,Buddy Hield,25.0,SAC,SG,80.0,13.0,2024.0,0.446,0.457,0.431,0.54,0.877,0.557,0.087,0.437,97.0,90.0,119.0,104.0,114.0,100.0,34.0,130.0,35.5,1.6,
99.0,Lauri Markkanen,20.0,CHI,PF,68.0,68.0,2020.0,0.434,0.497,0.362,0.518,0.843,0.552,0.193,0.465,94.0,97.0,100.0,99.0,110.0,99.0,76.0,138.0,-5.5,-7.0,
100.0,Darren Collison,30.0,IND,PG,69.0,64.0,2018.0,0.495,0.508,0.468,0.571,0.882,0.61,0.226,0.321,108.0,100.0,129.0,109.0,115.0,110.0,90.0,95.0,63.0,74.9,
101.0,Marvin Williams,31.0,CHO,PF,78.0,78.0,2006.0,0.458,0.512,0.413,0.57,0.829,0.603,0.218,0.542,100.0,100.0,114.0,109.0,108.0,108.0,87.0,161.0,55.2,57.6,
102.0,Nicolas Batum,29.0,CHO,SG,64.0,64.0,1981.0,0.415,0.473,0.336,0.486,0.831,0.523,0.2,0.422,90.0,93.0,93.0,93.0,108.0,94.0,79.0,125.0,-45.5,-46.6,
103.0,Kyle Anderson,24.0,SAS,SF,74.0,67.0,1978.0,0.527,0.556,0.333,0.549,0.712,0.582,0.333,0.13,115.0,109.0,92.0,105.0,93.0,105.0,132.0,39.0,24.4,26.4,
104.0,Joe Harris,26.0,BRK,SG,78.0,14.0,1975.0,0.491,0.589,0.419,0.612,0.827,0.634,0.167,0.576,107.0,115.0,116.0,117.0,108.0,114.0,66.0,171.0,112.7,104.4,
