Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
70.0,Jamal Crawford,28.0,GSW,PG,54.0,54.0,2087.0,6.0,14.7,0.406,1.8,5.5,0.338,4.1,9.2,0.446,0.468,4.6,5.1,0.889,0.4,2.7,3.0,4.1,0.8,0.2,2.1,1.4,18.4,
71.0,Shawn Marion,30.0,2TM,SF,69.0,68.0,2470.0,5.6,11.5,0.485,0.1,0.8,0.189,5.4,10.7,0.506,0.491,1.7,2.1,0.796,2.6,6.0,8.6,2.0,1.3,1.0,1.5,1.9,13.0,
71.0,Shawn Marion,30.0,MIA,SF,42.0,41.0,1516.0,5.1,10.6,0.482,0.2,0.9,0.2,4.9,9.6,0.51,0.491,1.6,2.0,0.788,2.5,6.1,8.7,1.8,1.4,1.1,1.3,2.2,12.0,
71.0,Shawn Marion,30.0,TOR,SF,27.0,27.0,954.0,6.3,12.9,0.488,0.1,0.5,0.154,6.2,12.4,0.502,0.491,1.9,2.3,0.806,2.8,5.7,8.5,2.3,1.2,0.8,1.8,1.5,14.6,
72.0,Tony Parker,26.0,SAS,PG,72.0,71.0,2456.0,9.4,18.5,0.506,0.3,1.0,0.292,9.1,17.6,0.518,0.513,4.2,5.3,0.782,0.4,2.9,3.3,7.3,1.0,0.1,2.7,1.6,23.2,"MVP-8,AS,NBA3"
73.0,Andrea Bargnani,23.0,TOR,PF,78.0,59.0,2453.0,6.3,14.1,0.45,1.7,4.3,0.409,4.6,9.8,0.468,0.512,3.2,3.9,0.831,1.0,5.1,6.1,1.4,0.5,1.4,2.0,3.6,17.6,
74.0,Metta World Peace,29.0,HOU,SF,69.0,55.0,2452.0,6.1,15.2,0.401,2.2,5.6,0.399,3.9,9.6,0.402,0.475,2.9,3.8,0.748,1.0,4.3,5.3,3.4,1.5,0.4,2.1,2.3,17.3,"DPOY-5,DEF2"
75.0,Rafer Alston,32.0,2TM,PG,77.0,76.0,2447.0,4.6,12.1,0.385,1.6,4.9,0.338,3.0,7.2,0.417,0.454,2.3,3.1,0.75,0.5,2.9,3.3,6.0,1.6,0.1,2.1,2.0,13.2,
75.0,Rafer Alston,32.0,HOU,PG,48.0,48.0,1591.0,4.4,11.8,0.37,1.8,5.2,0.348,2.6,6.6,0.387,0.446,1.9,2.5,0.789,0.6,2.7,3.3,5.8,1.3,0.2,2.0,1.6,12.5,
75.0,Rafer Alston,32.0,ORL,PG,29.0,28.0,856.0,5.2,12.5,0.413,1.3,4.2,0.317,3.8,8.3,0.462,0.466,2.9,4.2,0.707,0.3,3.2,3.5,6.2,2.1,0.1,2.2,2.6,14.6,
76.0,Grant Hill,36.0,PHO,SF,82.0,68.0,2445.0,5.7,11.0,0.523,0.4,1.1,0.316,5.4,9.9,0.547,0.54,2.7,3.3,0.808,0.9,5.0,6.0,2.7,1.3,0.8,1.9,2.7,14.5,DPOY-16
77.0,Derek Fisher,34.0,LAL,PG,82.0,82.0,2441.0,4.3,10.1,0.424,1.8,4.5,0.397,2.5,5.7,0.446,0.512,1.6,1.9,0.846,0.4,2.4,2.8,3.8,1.4,0.1,1.1,2.8,12.0,
