Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
364.0,Robert Archibald,23.0,3TM,PF,32.0,3.0,256.0,1.9,7.1,0.273,0.0,0.0,,1.9,7.1,0.273,0.273,3.0,6.7,0.452,4.5,6.7,11.2,2.8,3.0,0.6,2.2,10.8,6.9,84.0,98.0,
364.0,Robert Archibald,23.0,PHO,PF,1.0,0.0,6.0,0.0,8.6,0.0,0.0,0.0,,0.0,8.6,0.0,0.0,8.6,17.3,0.5,0.0,8.6,8.6,8.6,0.0,0.0,8.6,8.6,8.6,52.0,109.0,
364.0,Robert Archibald,23.0,ORL,PF,1.0,0.0,4.0,13.2,26.4,0.5,0.0,0.0,,13.2,26.4,0.5,0.5,0.0,26.4,0.0,0.0,13.2,13.2,0.0,13.2,0.0,0.0,0.0,26.4,66.0,82.0,
364.0,Robert Archibald,23.0,TOR,C,30.0,3.0,246.0,1.8,6.7,0.267,0.0,0.0,,1.8,6.7,0.267,0.267,2.9,6.1,0.481,4.7,6.5,11.2,2.7,2.9,0.7,2.0,11.0,6.5,86.0,98.0,
365.0,Maciej Lampe,18.0,PHO,C,21.0,0.0,224.0,9.9,20.4,0.489,0.0,0.9,0.0,9.9,19.4,0.512,0.489,2.3,3.0,0.769,2.1,8.1,10.2,2.1,0.7,0.7,3.5,6.5,22.2,96.0,107.0,
366.0,Robert Pack,34.0,NJN,PG,26.0,0.0,220.0,5.4,12.7,0.423,0.0,0.0,,5.4,12.7,0.423,0.423,1.2,1.5,0.833,1.0,3.4,4.4,6.6,2.9,0.2,3.9,4.9,12.0,85.0,99.0,
367.0,Alonzo Mourning,33.0,NJN,C,12.0,0.0,215.0,8.2,17.7,0.465,0.0,0.0,,8.2,17.7,0.465,0.465,7.5,8.5,0.882,2.0,4.7,6.7,2.0,0.5,1.5,2.5,8.0,24.0,109.0,102.0,
368.0,Chris Jefferies,23.0,2TM,SF,21.0,2.0,195.0,7.2,19.3,0.375,4.6,11.2,0.405,2.7,8.0,0.333,0.493,3.5,5.4,0.65,1.3,6.4,7.8,1.9,1.1,1.9,5.1,9.6,22.5,88.0,104.0,
368.0,Chris Jefferies,23.0,TOR,SG,2.0,0.0,8.0,20.7,41.5,0.5,6.9,20.7,0.333,13.8,20.7,0.667,0.583,6.9,6.9,1.0,0.0,6.9,6.9,6.9,0.0,0.0,6.9,0.0,55.3,105.0,105.0,
368.0,Chris Jefferies,23.0,CHI,SF,19.0,2.0,187.0,6.7,18.4,0.364,4.5,10.9,0.41,2.2,7.5,0.296,0.485,3.3,5.3,0.632,1.4,6.4,7.8,1.7,1.1,1.9,5.0,10.0,21.2,87.0,104.0,
369.0,Chris Whitney,32.0,WAS,PG,16.0,5.0,186.0,4.8,12.6,0.378,2.2,5.0,0.444,2.5,7.6,0.333,0.467,1.4,1.4,1.0,0.8,3.4,4.2,3.9,1.7,0.6,1.7,1.7,13.1,106.0,108.0,
370.0,Theron Smith,23.0,MEM,SF,20.0,0.0,178.0,4.7,12.7,0.372,1.8,3.5,0.5,3.0,9.2,0.323,0.442,1.8,2.4,0.75,3.8,8.3,12.1,2.1,1.5,1.5,4.1,5.3,13.0,87.0,102.0,
371.0,Ben Handlogten,30.0,UTA,C,17.0,0.0,172.0,8.1,15.1,0.532,0.0,0.0,,8.1,15.1,0.532,0.532,5.8,8.7,0.667,7.1,10.6,17.7,1.9,1.0,1.3,3.2,10.3,21.9,114.0,102.0,
372.0,Darrick Martin,32.0,MIN,PG,16.0,0.0,172.0,6.3,21.0,0.299,1.9,8.2,0.231,4.4,12.9,0.341,0.343,2.8,2.8,1.0,0.6,1.6,2.2,7.2,0.6,0.3,2.2,7.2,17.3,89.0,107.0,
373.0,Bimbo Coles,35.0,MIA,PG,22.0,1.0,170.0,3.9,10.9,0.353,0.0,0.0,,3.9,10.9,0.353,0.353,1.3,1.9,0.667,0.6,2.6,3.2,4.8,1.0,0.0,2.9,8.7,9.0,79.0,107.0,
374.0,Jabari Smith,26.0,SAC,C,31.0,0.0,168.0,8.0,21.6,0.371,0.0,0.9,0.0,8.0,20.6,0.388,0.371,3.7,6.2,0.6,3.4,6.2,9.5,3.4,0.6,1.8,2.2,7.7,19.7,90.0,107.0,
375.0,Tamar Slay,23.0,NJN,SG,22.0,0.0,165.0,6.8,19.5,0.35,1.3,3.9,0.333,5.5,15.6,0.354,0.383,2.3,4.6,0.5,3.3,4.9,8.1,4.6,2.3,0.3,3.6,6.5,17.2,83.0,99.0,
376.0,Jamison Brewer,23.0,IND,PG,13.0,1.0,160.0,4.5,12.0,0.371,1.7,4.8,0.357,2.7,7.2,0.381,0.443,0.3,2.1,0.167,0.7,3.1,3.8,5.8,2.4,0.0,3.4,3.1,11.0,83.0,100.0,
377.0,Darko MiliÄiÄ,18.0,DET,C,34.0,0.0,159.0,5.8,22.3,0.262,0.0,0.3,0.0,5.8,22.0,0.266,0.262,4.8,8.2,0.583,3.8,11.0,14.8,2.4,2.4,5.2,4.5,11.3,16.5,69.0,88.0,
378.0,Eddie Gill,25.0,POR,PG,22.0,0.0,157.0,5.3,12.8,0.417,1.1,2.8,0.375,4.3,9.9,0.429,0.458,6.0,7.1,0.85,1.4,4.6,6.0,5.7,3.2,0.4,4.3,5.7,17.7,104.0,104.0,
379.0,Dahntay Jones,23.0,MEM,SG,20.0,0.0,154.0,5.1,18.1,0.283,0.3,1.4,0.25,4.8,16.7,0.286,0.292,1.7,3.8,0.455,2.4,5.5,7.8,4.1,1.7,2.0,4.1,7.8,12.3,68.0,103.0,
380.0,Torraye Braggs,27.0,2TM,PF,15.0,0.0,154.0,5.6,11.6,0.485,0.0,0.0,,5.6,11.6,0.485,0.485,2.8,4.2,0.667,6.3,7.4,13.7,2.5,1.4,0.7,4.6,10.2,14.1,96.0,100.0,
380.0,Torraye Braggs,27.0,HOU,PF,11.0,0.0,132.0,5.4,11.6,0.464,0.0,0.0,,5.4,11.6,0.464,0.464,3.3,5.0,0.667,6.2,7.9,14.1,2.5,1.7,0.8,5.0,8.7,14.1,93.0,99.0,
380.0,Torraye Braggs,27.0,WAS,PF,4.0,0.0,22.0,7.1,11.8,0.6,0.0,0.0,,7.1,11.8,0.6,0.6,0.0,0.0,,7.1,4.7,11.8,2.4,0.0,0.0,2.4,18.9,14.2,117.0,111.0,
381.0,Michael Stewart,28.0,2TM,C,25.0,2.0,147.0,1.8,4.3,0.417,0.0,0.0,,1.8,4.3,0.417,0.417,1.1,1.4,0.75,2.8,7.5,10.3,0.0,0.7,3.6,1.1,12.1,4.6,99.0,103.0,
381.0,Michael Stewart,28.0,CLE,PF,8.0,2.0,76.0,2.1,4.9,0.429,0.0,0.0,,2.1,4.9,0.429,0.429,1.4,1.4,1.0,3.5,9.0,12.5,0.0,0.7,5.6,0.7,14.6,5.6,115.0,100.0,
381.0,Michael Stewart,28.0,BOS,C,17.0,0.0,71.0,1.5,3.6,0.4,0.0,0.0,,1.5,3.6,0.4,0.4,0.7,1.5,0.5,2.2,5.8,8.0,0.0,0.7,1.5,1.5,9.4,3.6,81.0,106.0,
